Farine;Sucre;Beurre;Vanille;Cassonade;Oeuf;Levure;Lait;Sel;Chocolat;Temperature;Duree_cuisson;Ordre;Note
0.352664577;0.094043887;0.172413793;0.015673981;0.094043887;0.083072100;0.003918495;0.000000000;0.003918495;0.274294671;170.000000000;10.000000000;beurre sucre oeuf farine levure sel chocolat;0.6
0.290135397;0.116054159;0.169245648;0.000000000;0.116054159;0.051257253;0.005802708;0.000000000;0.000000000;0.367504836;170.000000000;10.000000000;sucre farine levure beurre oeuf chocolat;0.5
0.317371938;0.167037862;0.222717149;0.005567929;0.055679287;0.059020045;0.005567929;0.000000000;0.000000000;0.222717149;180.000000000;13.000000000;beurre sucre oeuf farine levure chocolat;1.0
0.365217391;0.099378882;0.161490683;0.024844720;0.161490683;0.131677019;0.012422360;0.000000000;0.006211180;0.198757764;180.000000000;13.000000000;beurre sucre oeuf sel chocolat levure farine;0.96
0.350631136;0.175315568;0.175315568;0.007012623;0.000000000;0.074333801;0.007012623;0.000000000;0.000000000;0.210378682;180.000000000;10.000000000;beurre sucre oeuf chocolat levure farine;0.76
0.328947368;0.123355263;0.164473684;0.008223684;0.164473684;0.087171053;0.008223684;0.000000000;0.000000000;0.279605263;200.000000000;20.000000000;beurre sucre sel levure oeuf farine chocolat;0.8
0.360576923;0.024038462;0.160256410;0.016025641;0.216346154;0.084935897;0.008012821;0.000000000;0.001602564;0.344551282;180.000000000;13.000000000;beurre sucre oeuf farine levure chocolat;1.0
0.355660937;0.088915234;0.154119739;0.023710729;0.088915234;0.125666864;0.011855365;0.000000000;0.002963841;0.237107291;180.000000000;15.000000000;beurre oeuf sucre sel levure farine chocolat;0.98
0.346981263;0.173490632;0.173490632;0.013879251;0.173490632;0.073560028;0.006939625;0.000000000;0.003469813;0.208188758;240.000000000;10.000000000;farine levure sel sucre oeuf beurre chocolat;0.82
0.294464075;0.157047507;0.176678445;0.007852375;0.157047507;0.083235179;0.003926188;0.000000000;0.001963094;0.274833137;180.000000000;12.000000000;beurre sucre oeuf farine levure chocolat;1.0
0.372670807;0.000000000;0.207039337;0.020703934;0.310559006;0.109730849;0.020703934;0.000000000;0.000000000;0.269151139;160.000000000;15.000000000;beurre farine levure sucre chocolat;0.88
0.305676856;0.000000000;0.218340611;0.021834061;0.262008734;0.115720524;0.005458515;0.000000000;0.005458515;0.327510917;180.000000000;10.000000000;beurre sucre oeuf farine sel levure chocolat;1.0
0.396510706;0.095162569;0.285487708;0.000000000;0.190325139;0.084060270;0.007930214;0.000000000;0.003965107;0.126883426;170.000000000;10.000000000;beurre sucre sel oeuf farine levure chocolat;1.0
0.349175558;0.145489816;0.193986421;0.000000000;0.193986421;0.102812803;0.009699321;0.000000000;0.004849661;0.193986421;180.000000000;10.000000000;beurre sucre sel levure oeuf farine chocolat;0.78
